age,ethnicity,gender,img_name
26,1,0,20170116143035440.jpg.chip.jpg
32,2,1,20170117134733341.jpg.chip.jpg
40,0,1,20170117194649491.jpg.chip.jpg
28,1,0,20170117021549834.jpg.chip.jpg
3,0,1,20170109193452700.jpg.chip.jpg
1,2,0,20161219162817126.jpg.chip.jpg
33,4,1,20170117201624958.jpg.chip.jpg
44,0,1,20170111182452895.jpg.chip.jpg
80,0,1,20170110122439310.jpg.chip.jpg
59,0,0,20170111171747523.jpg.chip.jpg
16,1,0,20170113155247627.jpg.chip.jpg
23,3,1,20170119164532542.jpg.chip.jpg
24,2,1,20170116164813386.jpg.chip.jpg
89,1,1,20170116160717022.jpg.chip.jpg
24,2,1,20170116174413898.jpg.chip.jpg
28,1,0,20170117020658579.jpg.chip.jpg
59,2,0,20170109012736672.jpg.chip.jpg
31,3,1,20170104222647935.jpg.chip.jpg
3,2,0,20161219192725995.jpg.chip.jpg
32,0,1,20170103182605514.jpg.chip.jpg
48,0,1,20170109141729566.jpg.chip.jpg
1,4,1,20161221195027223.jpg.chip.jpg
28,0,0,20170117180537129.jpg.chip.jpg
33,1,0,20170116192517064.jpg.chip.jpg
53,0,1,20170120223149451.jpg.chip.jpg
32,1,1,20170116232547353.jpg.chip.jpg
23,2,1,20170116173154425.jpg.chip.jpg
44,3,0,20170119200334516.jpg.chip.jpg
75,0,0,20170111210855670.jpg.chip.jpg
41,4,0,20170111181750392.jpg.chip.jpg
59,0,0,20170104212437869.jpg.chip.jpg
26,3,0,20170119181310597.jpg.chip.jpg
32,1,0,20170113135620561.jpg.chip.jpg
47,0,0,20170109012320435.jpg.chip.jpg
53,1,0,20170120222553113.jpg.chip.jpg
71,0,1,20170110140328613.jpg.chip.jpg
20,2,1,20170108224234471.jpg.chip.jpg
43,4,0,20170104174223892.jpg.chip.jpg
70,0,0,20170117173655936.jpg.chip.jpg
20,3,1,20170119150812423.jpg.chip.jpg
32,1,0,20170113134404473.jpg.chip.jpg
24,0,1,20170117194613108.jpg.chip.jpg
26,1,1,20170116231924481.jpg.chip.jpg
24,4,1,20170103224550520.jpg.chip.jpg
28,2,0,20170116164352558.jpg.chip.jpg
84,0,1,20170110175644800.jpg.chip.jpg
40,0,0,20170117135030209.jpg.chip.jpg
25,1,0,20170113133830608.jpg.chip.jpg
36,1,0,20170116193840027.jpg.chip.jpg
50,2,0,20170116192850841.jpg.chip.jpg
70,0,0,20170117171634067.jpg.chip.jpg
23,2,0,20170116172945780.jpg.chip.jpg
25,1,1,20170102233540371.jpg.chip.jpg
28,3,0,20170104232323178.jpg.chip.jpg
31,0,0,20170104201726242.jpg.chip.jpg
50,0,0,20170117160612319.jpg.chip.jpg
22,1,1,20170116175817144.jpg.chip.jpg
37,2,1,20170105172724340.jpg.chip.jpg
13,0,0,20170110225513115.jpg.chip.jpg
26,0,1,20170116175417440.jpg.chip.jpg
45,0,1,20170109142531078.jpg.chip.jpg
25,1,1,20170113011606928.jpg.chip.jpg
23,2,1,20170116173241444.jpg.chip.jpg
24,2,1,20170112204459483.jpg.chip.jpg
38,1,1,20170116165625644.jpg.chip.jpg
17,0,0,20170110231711354.jpg.chip.jpg
24,0,1,20170117191400699.jpg.chip.jpg
57,0,1,20170120221057091.jpg.chip.jpg
40,0,1,20170103163152623.jpg.chip.jpg
46,0,1,20170104194343303.jpg.chip.jpg
27,1,0,20170113175646676.jpg.chip.jpg
2,4,0,20170103202407440.jpg.chip.jpg
4,2,1,20161219190751754.jpg.chip.jpg
61,0,1,20170109150858084.jpg.chip.jpg
54,0,0,20170109013346505.jpg.chip.jpg
39,0,1,20170109141437262.jpg.chip.jpg
40,0,0,20170117154505308.jpg.chip.jpg
1,3,1,20161220220045185.jpg.chip.jpg
39,0,0,20170109002838942.jpg.chip.jpg
83,0,1,20170110181333958.jpg.chip.jpg
35,0,0,20170105162448427.jpg.chip.jpg
49,0,1,20170104185051510.jpg.chip.jpg
75,0,0,20170111200622706.jpg.chip.jpg
4,4,1,20161221193349166.jpg.chip.jpg
3,2,1,20161219140825328.jpg.chip.jpg
40,0,0,20170104170248249.jpg.chip.jpg
45,0,1,20170117174627560.jpg.chip.jpg
26,0,1,20170103224921463.jpg.chip.jpg
56,2,1,20170109010140329.jpg.chip.jpg
26,0,1,20170117170417131.jpg.chip.jpg
35,1,1,20170115235811416.jpg.chip.jpg
75,0,0,20170111202232554.jpg.chip.jpg
23,3,1,20170119164536502.jpg.chip.jpg
81,0,1,20170120224920120.jpg.chip.jpg
26,0,0,20170113210127300.jpg.chip.jpg
12,0,0,20170110225330874.jpg.chip.jpg
70,0,0,20170120222625010.jpg.chip.jpg
31,0,0,20170117181758364.jpg.chip.jpg
36,0,0,20170104201829601.jpg.chip.jpg
28,3,1,20170109132916902.jpg.chip.jpg
35,4,1,20170117203828719.jpg.chip.jpg
46,3,0,20170119183130575.jpg.chip.jpg
56,3,1,20170119211416888.jpg.chip.jpg
6,0,0,20170110221709278.jpg.chip.jpg
7,0,1,20170109194241191.jpg.chip.jpg
30,0,1,20170117170425322.jpg.chip.jpg
32,4,1,20170105162431387.jpg.chip.jpg
29,1,0,20170114030901209.jpg.chip.jpg
22,3,1,20170119162920653.jpg.chip.jpg
18,0,1,20170109213931089.jpg.chip.jpg
82,0,0,20170111222551270.jpg.chip.jpg
26,3,1,20170119155121850.jpg.chip.jpg
26,2,1,20170117201843503.jpg.chip.jpg
23,2,1,20170116173049386.jpg.chip.jpg
3,4,1,20161221201441793.jpg.chip.jpg
29,1,1,20170116222853534.jpg.chip.jpg
60,0,1,20170110140847057.jpg.chip.jpg
28,0,0,20170114030950715.jpg.chip.jpg
22,2,1,20170105183412088.jpg.chip.jpg
24,4,1,20170117194852596.jpg.chip.jpg
55,3,0,20170119203922271.jpg.chip.jpg
15,3,1,20170104222011950.jpg.chip.jpg
25,0,1,20170109213201198.jpg.chip.jpg
30,0,1,20170117181542323.jpg.chip.jpg
42,0,0,20170104204536019.jpg.chip.jpg
80,0,0,20170111222041471.jpg.chip.jpg
26,2,1,20170116184827669.jpg.chip.jpg
8,0,1,20170109202316791.jpg.chip.jpg
68,0,0,20170111202050714.jpg.chip.jpg
26,4,0,20170103235609892.jpg.chip.jpg
2,3,1,20161219225432608.jpg.chip.jpg
30,0,0,20170117140008320.jpg.chip.jpg
46,1,1,20170116223430582.jpg.chip.jpg
3,3,1,20161220222009699.jpg.chip.jpg
27,0,1,20170116221800786.jpg.chip.jpg
46,3,0,20170119204816695.jpg.chip.jpg
36,0,1,20170109003400403.jpg.chip.jpg
25,0,1,20170103181306464.jpg.chip.jpg
28,1,0,20170116203348523.jpg.chip.jpg
42,1,1,20170116153229826.jpg.chip.jpg
21,3,0,20170119154329337.jpg.chip.jpg
53,3,1,20170109141903857.jpg.chip.jpg
30,2,1,20170116191911487.jpg.chip.jpg
28,1,1,20170113005333198.jpg.chip.jpg
28,4,1,20170103181212270.jpg.chip.jpg
35,0,0,20170117190009586.jpg.chip.jpg
17,4,1,20170103233548115.jpg.chip.jpg
13,1,0,20170110232537879.jpg.chip.jpg
9,0,0,20170110220312322.jpg.chip.jpg
32,1,0,20170113151844984.jpg.chip.jpg
51,4,0,20170104210348196.jpg.chip.jpg
28,1,1,20170117020452350.jpg.chip.jpg
34,0,1,20170116222753074.jpg.chip.jpg
54,1,0,20170117185822383.jpg.chip.jpg
19,0,1,20170103175624137.jpg.chip.jpg
46,0,0,20170117190143691.jpg.chip.jpg
17,1,0,20170114025845366.jpg.chip.jpg
29,1,0,20170117104538522.jpg.chip.jpg
43,2,0,20170109005254030.jpg.chip.jpg
28,2,1,20170116190041109.jpg.chip.jpg
6,2,1,20161219151445563.jpg.chip.jpg
25,0,0,20170113210126947.jpg.chip.jpg
36,1,1,20170113011437606.jpg.chip.jpg
60,0,0,20170104205856564.jpg.chip.jpg
1,2,1,20161219153531852.jpg.chip.jpg
11,0,1,20170109205247087.jpg.chip.jpg
61,2,1,20170117123801917.jpg.chip.jpg
2,2,0,20161219154627053.jpg.chip.jpg
3,3,0,20161219230550256.jpg.chip.jpg
25,2,1,20170116175258251.jpg.chip.jpg
18,0,1,20170109212906609.jpg.chip.jpg
49,0,1,20170109013132704.jpg.chip.jpg
26,0,0,20170113210126924.jpg.chip.jpg
45,0,1,20170109221158465.jpg.chip.jpg
25,0,1,20170117143916425.jpg.chip.jpg
54,3,0,20170119211308521.jpg.chip.jpg
30,3,1,20170109141047511.jpg.chip.jpg
10,2,1,20170116175840105.jpg.chip.jpg
26,2,1,20170116184148142.jpg.chip.jpg
46,3,0,20170119205025182.jpg.chip.jpg
28,0,0,20170117020857776.jpg.chip.jpg
34,0,1,20170117134930254.jpg.chip.jpg
25,4,0,20170103235109805.jpg.chip.jpg
4,2,1,20161219204019100.jpg.chip.jpg
75,2,0,20170112222028563.jpg.chip.jpg
24,2,0,20170116170804180.jpg.chip.jpg
40,0,0,20170117135352413.jpg.chip.jpg
37,0,1,20170104194539720.jpg.chip.jpg
67,0,0,20170109012902657.jpg.chip.jpg
1,0,0,20161219211413621.jpg.chip.jpg
20,4,1,20170103224540624.jpg.chip.jpg
37,4,0,20170116204829478.jpg.chip.jpg
8,2,1,20170109204518758.jpg.chip.jpg
22,0,0,20170117143539234.jpg.chip.jpg
54,0,1,20170117191408330.jpg.chip.jpg
30,1,1,20170112234651369.jpg.chip.jpg
30,0,0,20170120223905134.jpg.chip.jpg
28,3,1,20170119195104372.jpg.chip.jpg
53,0,0,20170111202320442.jpg.chip.jpg
54,1,0,20170117142808120.jpg.chip.jpg
36,0,1,20170104171550313.jpg.chip.jpg
65,0,0,20170117171624306.jpg.chip.jpg
22,3,1,20170104231706746.jpg.chip.jpg
33,0,1,20170109001602570.jpg.chip.jpg
26,1,1,20170116221012056.jpg.chip.jpg
23,0,1,20170117144812555.jpg.chip.jpg
26,3,0,20170117173025404.jpg.chip.jpg
3,0,0,20170110220527929.jpg.chip.jpg
43,0,0,20170117171851443.jpg.chip.jpg
15,1,1,20170112210325253.jpg.chip.jpg
27,0,0,20170117175613066.jpg.chip.jpg
5,0,0,20170110213625162.jpg.chip.jpg
26,3,0,20170119165526055.jpg.chip.jpg
36,1,1,20170117094930388.jpg.chip.jpg
3,4,1,20161221195312639.jpg.chip.jpg
40,3,0,20170119204129150.jpg.chip.jpg
29,2,1,20170116165527351.jpg.chip.jpg
56,0,0,20170109012151633.jpg.chip.jpg
20,3,0,20170119150802863.jpg.chip.jpg
15,1,0,20170117135108912.jpg.chip.jpg
28,1,1,20170116231107181.jpg.chip.jpg
14,3,0,20170104225721488.jpg.chip.jpg
23,2,1,20170116172902847.jpg.chip.jpg
52,1,0,20170117171005861.jpg.chip.jpg
3,1,0,20170113145440942.jpg.chip.jpg
28,2,1,20170116190129400.jpg.chip.jpg
15,4,1,20170103201247846.jpg.chip.jpg
16,1,1,20170114025520014.jpg.chip.jpg
7,4,1,20161221193133117.jpg.chip.jpg
48,1,1,20170109142322529.jpg.chip.jpg
26,3,0,20170119180851092.jpg.chip.jpg
41,3,0,20170119162741678.jpg.chip.jpg
45,1,0,20170113184105455.jpg.chip.jpg
40,0,1,20170117154628772.jpg.chip.jpg
41,1,0,20170116203626044.jpg.chip.jpg
48,0,1,20170109135746831.jpg.chip.jpg
26,1,1,20170117155009422.jpg.chip.jpg
46,3,1,20170119204838888.jpg.chip.jpg
50,0,1,20170103183624314.jpg.chip.jpg
44,3,0,20170119162912596.jpg.chip.jpg
63,0,1,20170110132501568.jpg.chip.jpg
30,2,1,20170116162557654.jpg.chip.jpg
79,0,1,20170120225601889.jpg.chip.jpg
35,3,0,20170104214512933.jpg.chip.jpg
3,2,0,20161219221758967.jpg.chip.jpg
1,4,1,20161221202528425.jpg.chip.jpg
26,3,0,20170119184304215.jpg.chip.jpg
15,0,0,20170110225410802.jpg.chip.jpg
1,3,0,20161220223014827.jpg.chip.jpg
26,0,1,20170117154814509.jpg.chip.jpg
1,4,0,20161221195955560.jpg.chip.jpg
96,0,1,20170110182433943.jpg.chip.jpg
28,0,0,20170117180233918.jpg.chip.jpg
23,3,1,20170104220147782.jpg.chip.jpg
31,1,1,20170112231537686.jpg.chip.jpg
25,3,1,20161220221512186.jpg.chip.jpg
24,0,0,20170117145308498.jpg.chip.jpg
55,3,0,20170117155001317.jpg.chip.jpg
47,0,0,20170104211906453.jpg.chip.jpg
30,0,0,20170117000338422.jpg.chip.jpg
24,0,1,20170116222827257.jpg.chip.jpg
21,4,0,20161223214834033.jpg.chip.jpg
40,0,0,20170116235733229.jpg.chip.jpg
26,0,0,20170113210604209.jpg.chip.jpg
35,4,0,20170113133347977.jpg.chip.jpg
26,3,1,20170117174552920.jpg.chip.jpg
26,3,0,20170119180330838.jpg.chip.jpg
24,1,1,20170112230612966.jpg.chip.jpg
38,0,1,20170117121922741.jpg.chip.jpg
79,0,0,20170111222511980.jpg.chip.jpg
26,1,1,20170116232407502.jpg.chip.jpg
55,2,0,20170112223845572.jpg.chip.jpg
1,2,1,20161219202741628.jpg.chip.jpg
27,0,0,20170116205629794.jpg.chip.jpg
29,0,1,20170103182353753.jpg.chip.jpg
45,3,0,20170119202559894.jpg.chip.jpg
2,1,1,20170116231935539.jpg.chip.jpg
14,0,1,20170109203625481.jpg.chip.jpg
26,1,0,20170116205227300.jpg.chip.jpg
73,0,0,20170120230233019.jpg.chip.jpg
60,0,1,20170110141610416.jpg.chip.jpg
39,1,1,20170116165532163.jpg.chip.jpg
23,3,1,20170119164502773.jpg.chip.jpg
53,1,1,20170113012108752.jpg.chip.jpg
29,0,1,20170103163726008.jpg.chip.jpg
29,0,0,20170103182333545.jpg.chip.jpg
24,3,1,20161220221647314.jpg.chip.jpg
31,4,1,20170103230221721.jpg.chip.jpg
35,1,1,20170112215224384.jpg.chip.jpg
53,3,0,20170119205842672.jpg.chip.jpg
1,2,0,20170109192222822.jpg.chip.jpg
61,1,0,20170117182431301.jpg.chip.jpg
1,3,0,20161219225808112.jpg.chip.jpg
39,4,1,20170109002712574.jpg.chip.jpg
2,2,0,20161219202530668.jpg.chip.jpg
27,2,1,20170116163625314.jpg.chip.jpg
19,0,1,20170116163837603.jpg.chip.jpg
55,3,0,20170119200941652.jpg.chip.jpg
61,0,0,20170117174637422.jpg.chip.jpg
34,2,1,20170104023010725.jpg.chip.jpg
25,1,0,20170116205628998.jpg.chip.jpg
3,0,1,20170103212052443.jpg.chip.jpg
32,4,1,20170104171544210.jpg.chip.jpg
55,0,0,20170104184424541.jpg.chip.jpg
4,3,0,20161220220759066.jpg.chip.jpg
11,0,1,20170109205125500.jpg.chip.jpg
35,3,0,20170119201410901.jpg.chip.jpg
24,2,1,20170116165003935.jpg.chip.jpg
35,4,0,20170117204532088.jpg.chip.jpg
8,0,1,20170109205030055.jpg.chip.jpg
83,0,1,20170120224721561.jpg.chip.jpg
21,4,1,20170103180619480.jpg.chip.jpg
25,3,1,20170104223238159.jpg.chip.jpg
5,2,0,20161219192452267.jpg.chip.jpg
78,0,0,20170111222218304.jpg.chip.jpg
35,4,1,20170116221035151.jpg.chip.jpg
37,0,1,20170104165602361.jpg.chip.jpg
13,0,1,20170109205119953.jpg.chip.jpg
32,1,1,20170116170930529.jpg.chip.jpg
22,3,0,20170119150454309.jpg.chip.jpg
37,1,0,20170117164255088.jpg.chip.jpg
27,2,0,20170116165157609.jpg.chip.jpg
24,4,1,20170117194920763.jpg.chip.jpg
7,0,1,20170109200923305.jpg.chip.jpg
26,3,1,20170104223022663.jpg.chip.jpg
2,2,0,20161219163447671.jpg.chip.jpg
65,0,1,20170117190355010.jpg.chip.jpg
43,3,0,20170119180619699.jpg.chip.jpg
85,0,0,20170117174438038.jpg.chip.jpg
1,3,1,20161220142900393.jpg.chip.jpg
33,3,0,20170119164235580.jpg.chip.jpg
52,0,0,20170111181750501.jpg.chip.jpg
59,3,0,20170119200426948.jpg.chip.jpg
26,0,1,20170117200744612.jpg.chip.jpg
54,0,1,20170110140410594.jpg.chip.jpg
1,2,0,20161219141101408.jpg.chip.jpg
24,1,0,20170117194403765.jpg.chip.jpg
56,1,0,20170113174030713.jpg.chip.jpg
55,0,1,20170117174940936.jpg.chip.jpg
32,0,0,20170105164554548.jpg.chip.jpg
26,0,1,20170117170011666.jpg.chip.jpg
38,1,0,20170116001041187.jpg.chip.jpg
66,3,0,20170119180756808.jpg.chip.jpg
14,2,1,20170104013310115.jpg.chip.jpg
24,1,1,20170115235403633.jpg.chip.jpg
22,4,1,20170103223649399.jpg.chip.jpg
8,0,1,20170109201724457.jpg.chip.jpg
54,0,0,20170116171216593.jpg.chip.jpg
22,1,0,20170113133350977.jpg.chip.jpg
24,2,1,20170116173405460.jpg.chip.jpg
26,2,0,20170116182237706.jpg.chip.jpg
20,0,1,20170117141220570.jpg.chip.jpg
56,0,0,20170120223014338.jpg.chip.jpg
32,2,1,20170116184058376.jpg.chip.jpg
66,0,1,20170110153031033.jpg.chip.jpg
36,1,0,20170116030458993.jpg.chip.jpg
47,2,1,20170105173513573.jpg.chip.jpg
4,2,1,20161219205238948.jpg.chip.jpg
30,2,1,20170116191236376.jpg.chip.jpg
1,0,1,20170109191347386.jpg.chip.jpg
84,0,1,20170120223155060.jpg.chip.jpg
26,2,1,20170116161848983.jpg.chip.jpg
3,0,0,20170110205355795.jpg.chip.jpg
60,2,0,20170112222017258.jpg.chip.jpg
1,4,0,20170103210037042.jpg.chip.jpg
18,0,1,20170109212538216.jpg.chip.jpg
39,2,0,20170107211043190.jpg.chip.jpg
56,3,0,20170119152358239.jpg.chip.jpg
35,0,0,20170104201512505.jpg.chip.jpg
35,1,0,20170117164220595.jpg.chip.jpg
11,0,1,20170109205013531.jpg.chip.jpg
25,0,0,20170116001254628.jpg.chip.jpg
33,3,1,20170104235523490.jpg.chip.jpg
26,0,1,20170117200609068.jpg.chip.jpg
6,0,1,20170109204539812.jpg.chip.jpg
17,0,0,20170103201439825.jpg.chip.jpg
85,1,0,20170117194436106.jpg.chip.jpg
34,4,1,20170103230444089.jpg.chip.jpg
28,3,0,20170119194909970.jpg.chip.jpg
72,0,1,20170110140945561.jpg.chip.jpg
26,0,0,20170116233047853.jpg.chip.jpg
1,3,1,20161219224700400.jpg.chip.jpg
37,0,1,20170109002419306.jpg.chip.jpg
32,1,1,20170117203619504.jpg.chip.jpg
65,0,1,20170110175333844.jpg.chip.jpg
21,2,1,20170116171009058.jpg.chip.jpg
16,0,1,20170109204530608.jpg.chip.jpg
27,1,0,20170117013654319.jpg.chip.jpg
22,2,1,20170116172702296.jpg.chip.jpg
28,1,0,20170117020659979.jpg.chip.jpg
61,3,0,20170119211852753.jpg.chip.jpg
43,0,0,20170104172942851.jpg.chip.jpg
32,2,1,20170116191408835.jpg.chip.jpg
8,0,0,20170103210941483.jpg.chip.jpg
4,0,0,20170110213533405.jpg.chip.jpg
28,1,0,20170113011940681.jpg.chip.jpg
44,3,0,20170119195247387.jpg.chip.jpg
28,1,1,20170112230622262.jpg.chip.jpg
36,1,0,20170120140727849.jpg.chip.jpg
45,0,0,20170104205911974.jpg.chip.jpg
68,2,0,20170116193554465.jpg.chip.jpg
58,0,0,20170120224706941.jpg.chip.jpg
30,0,0,20170117181235740.jpg.chip.jpg
28,3,0,20170119211746169.jpg.chip.jpg
24,3,0,20170120133949638.jpg.chip.jpg
25,0,0,20170117133936015.jpg.chip.jpg
52,0,0,20170109132901912.jpg.chip.jpg
47,3,0,20170119202404381.jpg.chip.jpg
52,0,0,20170104210519108.jpg.chip.jpg
47,4,0,20170104210443652.jpg.chip.jpg
8,0,1,20170109205515528.jpg.chip.jpg
52,0,0,20170117190844398.jpg.chip.jpg
26,1,1,20170112213133100.jpg.chip.jpg
45,0,0,20170120220047074.jpg.chip.jpg
1,2,0,20161219203148028.jpg.chip.jpg
23,1,1,20170113195614940.jpg.chip.jpg
1,3,1,20161219225238384.jpg.chip.jpg
39,0,0,20170104204804020.jpg.chip.jpg
36,1,1,20170117091839173.jpg.chip.jpg
30,0,1,20170117181424196.jpg.chip.jpg
1,2,0,20161219154041477.jpg.chip.jpg
22,2,1,20170116172557623.jpg.chip.jpg
24,1,1,20170116225255798.jpg.chip.jpg
32,2,0,20170116180514896.jpg.chip.jpg
23,2,0,20170116172927637.jpg.chip.jpg
26,1,0,20170116204859144.jpg.chip.jpg
65,0,1,20170110152931044.jpg.chip.jpg
56,3,1,20170109141321745.jpg.chip.jpg
48,1,1,20170109221012363.jpg.chip.jpg
8,2,1,20170104005626607.jpg.chip.jpg
38,0,0,20170117173903278.jpg.chip.jpg
60,0,1,20170110153435061.jpg.chip.jpg
51,3,1,20170105001344652.jpg.chip.jpg
30,1,0,20170113141819444.jpg.chip.jpg
26,1,1,20170112210320819.jpg.chip.jpg
31,3,1,20170117181717125.jpg.chip.jpg
26,2,0,20170116180219752.jpg.chip.jpg
30,0,0,20170117131018041.jpg.chip.jpg
32,0,0,20170103182544874.jpg.chip.jpg
9,0,0,20170110220238481.jpg.chip.jpg
28,0,1,20170104165123368.jpg.chip.jpg
22,1,0,20170113150441654.jpg.chip.jpg
52,0,0,20170104212337021.jpg.chip.jpg
46,4,0,20170117171327063.jpg.chip.jpg
31,3,0,20170119195935948.jpg.chip.jpg
39,0,0,20170109011813551.jpg.chip.jpg
34,2,1,20170105164106036.jpg.chip.jpg
48,0,0,20170120222650520.jpg.chip.jpg
31,1,1,20170116234434494.jpg.chip.jpg
31,3,0,20170119195948571.jpg.chip.jpg
26,0,0,20170117201346990.jpg.chip.jpg
36,2,0,20170116191926914.jpg.chip.jpg
40,2,0,20170116181243263.jpg.chip.jpg
24,2,1,20170116173453451.jpg.chip.jpg
48,0,0,20170117183518783.jpg.chip.jpg
29,0,0,20170117094526002.jpg.chip.jpg
24,2,0,20170116163855503.jpg.chip.jpg
34,0,0,20170104172731554.jpg.chip.jpg
16,0,0,20170110231221050.jpg.chip.jpg
24,0,0,20170116222146786.jpg.chip.jpg
31,1,1,20170116222926118.jpg.chip.jpg
30,0,0,20170111181750341.jpg.chip.jpg
26,3,0,20170119180528140.jpg.chip.jpg
30,1,1,20170112235107208.jpg.chip.jpg
29,1,1,20170115235932970.jpg.chip.jpg
25,0,0,20170117153733428.jpg.chip.jpg
14,0,1,20170109214440556.jpg.chip.jpg
41,2,1,20170116193738910.jpg.chip.jpg
26,0,0,20170113210126312.jpg.chip.jpg
74,0,1,20170120225056705.jpg.chip.jpg
27,3,1,20170119194425619.jpg.chip.jpg
24,1,0,20170113134010217.jpg.chip.jpg
40,0,0,20170117134708024.jpg.chip.jpg
28,0,0,20170114032106670.jpg.chip.jpg
37,2,0,20170109013510428.jpg.chip.jpg
24,2,1,20170116173727786.jpg.chip.jpg
26,0,1,20170109132910372.jpg.chip.jpg
30,1,0,20170117202835519.jpg.chip.jpg
26,3,1,20170119193144786.jpg.chip.jpg
39,4,0,20170104205430619.jpg.chip.jpg
1,2,1,20161219193320219.jpg.chip.jpg
26,3,1,20170117174106166.jpg.chip.jpg
45,0,0,20170104210627331.jpg.chip.jpg
31,1,1,20170113002013869.jpg.chip.jpg
21,1,1,20170112233316503.jpg.chip.jpg
26,3,0,20170117153347116.jpg.chip.jpg
30,2,1,20170116161348207.jpg.chip.jpg
26,3,1,20170119192258793.jpg.chip.jpg
35,1,0,20170113155255651.jpg.chip.jpg
55,0,0,20170117155725626.jpg.chip.jpg
27,2,1,20170116165450739.jpg.chip.jpg
34,2,1,20170104204327523.jpg.chip.jpg
31,1,1,20170116222335750.jpg.chip.jpg
17,1,1,20170113003718549.jpg.chip.jpg
59,0,0,20170113190732385.jpg.chip.jpg
13,0,0,20170104012310089.jpg.chip.jpg
40,2,0,20170116191432618.jpg.chip.jpg
26,3,1,20170104232139409.jpg.chip.jpg
70,0,0,20170105173625820.jpg.chip.jpg
20,2,1,20170104020440101.jpg.chip.jpg
24,2,1,20170116170616076.jpg.chip.jpg
32,1,1,20170103162943271.jpg.chip.jpg
37,0,1,20170117140054979.jpg.chip.jpg
64,2,0,20170116193425715.jpg.chip.jpg
5,4,1,20161221201710702.jpg.chip.jpg
52,0,1,20170110143721250.jpg.chip.jpg
4,2,1,20161219195237635.jpg.chip.jpg
50,0,0,20170105161353395.jpg.chip.jpg
1,2,0,20161219162726231.jpg.chip.jpg
29,0,1,20170103182249865.jpg.chip.jpg
24,3,1,20170119171104024.jpg.chip.jpg
